,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
120,6.6,0,0,2,2,0,0,0,4,1,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103
121,7.4,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
122,5.5,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178
123,4.5,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5182
124,7.6,0,0,0,0,1,4,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,313
125,4.8,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,879
126,6.6,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,879
127,6.7,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,879
128,5.4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
129,6.7,0,0,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178
130,5.0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
131,5.1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
132,6.1,0,0,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5182
133,6.4,0,0,0,0,0,0,1,1,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
134,5.2,0,0,0,0,3,0,4,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
135,6.7,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
136,6.5,0,0,2,2,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103
137,6.4,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
138,4.4,0,0,0,0,0,0,3,4,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
139,5.0,0,0,0,0,13,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,716
141,3.7,0,0,0,0,0,3,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716
142,7.9,0,0,3,8,0,4,0,9,1,4,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
144,5.0,0,0,0,0,0,0,4,2,4,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
145,6.1,2,0,0,0,0,1,7,3,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,313
147,7.0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
148,5.5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
149,7.5,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213
150,7.3,0,0,0,0,3,0,3,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
151,4.4,0,0,0,0,4,0,4,0,3,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
152,5.1,0,0,0,0,0,4,0,0,0,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
153,3.8,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
154,6.5,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88
155,6.5,2,0,3,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,716
156,4.4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
157,5.6,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
158,6.5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
159,6.1,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
160,6.3,0,0,0,0,0,0,0,3,0,0,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
161,4.8,0,0,2,0,0,0,7,3,0,0,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
163,5.4,0,0,0,1,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
164,5.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,716
165,4.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
166,8.1,0,0,3,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
167,5.0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
168,4.8,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
169,6.7,1,0,0,0,0,0,2,9,0,3,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
170,5.3,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24
171,6.3,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,151
172,5.0,0,0,1,3,1,0,0,0,3,4,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
174,5.5,0,0,0,0,1,2,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1042
175,6.8,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,716
176,6.1,0,0,0,1,2,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5182
177,6.6,0,0,6,0,0,0,1,5,1,0,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
178,4.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1042
179,6.4,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70
180,4.5,0,0,0,0,0,0,2,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
181,7.7,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70
182,5.1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
183,4.5,0,0,0,0,0,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1042
184,6.6,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103
185,5.2,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,716
186,4.4,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
187,6.3,0,0,2,2,1,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1042
190,4.3,0,0,0,0,0,0,0,0,3,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,879
192,4.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
193,7.0,0,0,0,1,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
194,6.1,0,0,0,0,0,1,0,1,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
195,4.4,0,0,1,1,17,0,4,7,3,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
197,4.0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
198,4.8,0,0,1,0,0,1,3,0,0,3,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5182
199,7.0,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,151
200,7.4,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,313
201,5.0,0,0,0,0,0,0,3,0,1,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
202,5.2,0,0,0,0,1,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
203,4.5,0,0,2,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,178
204,6.2,0,0,0,0,0,0,6,0,0,0,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
205,5.5,0,0,3,0,0,0,2,0,0,0,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
206,7.4,0,0,1,0,0,0,0,0,8,0,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
207,6.5,3,0,0,1,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
208,5.6,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
