id;festival;categoria;año;premiado_a;director
154;Festival de Berlín ; Oso de Oro - Mejor película: ;2019; Sinónimos ; Xenia Roset
155;Festival de Berlín ; Oso de Oro - Mejor película: ;2018; Touch Me Not  (No me toques) ; Radu Jude
156;Festival de Berlín ; Oso de Oro - Mejor película: ;2017; En cuerpo y alma ; Katia Pascariu
157;Festival de Berlín ; Oso de Oro - Mejor película: ;2016; Fuego en el mar ; Claudia Ieremia
158;Festival de Berlín ; Oso de Oro - Mejor película: ;2015; Taxi Teherán ; Olimpia Malai
159;Festival de Berlín ; Oso de Oro - Mejor película: ;2014; Black Coal ; Mohammad Rasoulof
160;Festival de Berlín ; Oso de Oro - Mejor película: ;2013; La mirada del hijo (Madre e hijo) ; Ehsan Mirhosseini
161;Festival de Berlín ; Oso de Oro - Mejor película: ;2012; César debe morir ; Shaghayegh Shoorian
162;Festival de Berlín ; Oso de Oro - Mejor película: ;2011; Nader y Simin, una separación ; Kaveh Ahangar
163;Festival de Berlín ; Oso de Oro - Mejor película: ;2010; Miel ; Nadav Lapid
164;Festival de Berlín ; Oso de Oro - Mejor película: ;2009; La teta asustada ; Tom Mercier
165;Festival de Berlín ; Oso de Oro - Mejor película: ;2008; Tropa de élite ; Quentin Dolmaire
166;Festival de Berlín ; Oso de Oro - Mejor película: ;2007; La boda de Tuya ; Louise Chevillotte
167;Festival de Berlín ; Oso de Oro - Mejor película: ;2006; Grbavica (El secreto de Esma) ; Adina Pintilie
168;Festival de Berlín ; Oso de Oro - Mejor película: ;2005; U-Carmen e-Khayelitsha ; Laura Benson
169;Festival de Berlín ; Oso de Oro - Mejor película: ;2004; Contra la pared ; Tómas Lemarquis
170;Festival de Berlín ; Oso de Oro - Mejor película: ;2003; In This World (En este mundo) ; Dirk Lange
171;Festival de Berlín ; Oso de Oro - Mejor película: ;2002; El viaje de Chihiro ; Ildikó Enyedi
172;Festival de Berlín ; Oso de Oro - Mejor película: ;2001; Bloody Sunday (Domingo sangriento) ; Morcsányi Géza
173;Festival de Berlín ; Oso de Oro - Mejor película: ;2000; Intimidad ; Alexandra Borbély
174;Festival de Berlín ; Oso de Oro - Mejor película: ;1999; Magnolia ; Ervin Nagy
175;Festival de Berlín ; Oso de Oro - Mejor película: ;1998; La delgada línea roja ; Gianfranco Rosi
176;Festival de Berlín ; Oso de Oro - Mejor película: ;1997; Estación central de Brasil ; Pietro Bartolo
177;Festival de Berlín ; Oso de Oro - Mejor película: ;1996; El escándalo de Larry Flynt ; Samuele Caruana
178;Festival de Berlín ; Oso de Oro - Mejor película: ;1995; Sentido y sensibilidad ; Jafar Panahi
179;Festival de Berlín ; Oso de Oro - Mejor película: ;1994; La carnaza ; Jafar Panahi
180;Festival de Berlín ; Oso de Oro - Mejor película: ;1993; En el nombre del padre ; Hana Saeidi
181;Festival de Berlín ; Oso de Oro - Mejor película: ;1992; Woman Sesame Oil Maker ; Nasrin Sotudé
182;Festival de Berlín ; Oso de Oro - Mejor película: ;1991; El banquete de boda ; Diao Yinan
183;Festival de Berlín ; Oso de Oro - Mejor película: ;1990; Grand Canyon (El alma de la ciudad) ; Liao Fan
184;Festival de Berlín ; Oso de Oro - Mejor película: ;1989; La casa de la sonrisa ; Gwei Lun-Mei
185;Festival de Berlín ; Oso de Oro - Mejor película: ;1988; Alondras en el alambre ; Wang Xuebing
186;Festival de Berlín ; Oso de Oro - Mejor película: ;1987; La caja de música ; Calin Peter Netzer
187;Festival de Berlín ; Oso de Oro - Mejor película: ;1986; Rain Man ; Luminita Gheorghiu
188;Festival de Berlín ; Oso de Oro - Mejor película: ;1985; Sorgo rojo ; Bogdan Dumitrache
189;Festival de Berlín ; Oso de Oro - Mejor película: ;1984; Tema ; Florin Zamfirescu
190;Festival de Berlín ; Oso de Oro - Mejor película: ;1983; Stammheim, el proceso ; Paolo Taviani
191;Festival de Berlín ; Oso de Oro - Mejor película: ;1982; La mujer y el extraño ; Vittorio Taviani
192;Festival de Berlín ; Oso de Oro - Mejor película: ;1981; Un pasado en sombras ; Fabio Cavalli
193;Festival de Berlín ; Oso de Oro - Mejor película: ;1980; Corrientes de amor ; Salvatore Striano
194;Festival de Berlín ; Oso de Oro - Mejor película: ;1979; Ascendancy ; Giovanni Arcuri
195;Festival de Berlín ; Oso de Oro - Mejor película: ;1978; La colmena ; Asghar Farhadi
196;Festival de Berlín ; Oso de Oro - Mejor película: ;1977; La ansiedad de Veronika Voss ; Peyman Moaadi
197;Festival de Berlín ; Oso de Oro - Mejor película: ;1976; Deprisa, deprisa ; Leila Hatami
198;Festival de Berlín ; Oso de Oro - Mejor película: ;1975; Palermo o Wolfsburg ; Sareh Bayat
199;Festival de Berlín ; Oso de Oro - Mejor película: ;1974; Heartland ; Semih Kaplanoglu
200;Festival de Berlín ; Oso de Oro - Mejor película: ;1973; David ; Bora Altas
201;Festival de Berlín ; Oso de Oro - Mejor película: ;1972; Las palabras de Max ; Erdal Besikçioglu
202;Festival de Berlín ; Oso de Oro - Mejor película: ;1971; Las truchas ; Tülin Özen
203;Festival de Berlín ; Oso de Oro - Mejor película: ;1970; Ascensor (C) ; Claudia Llosa
204;Festival de Berlín ; Oso de Oro - Mejor película: ;1969; La ascensión ; Magaly Solier
205;Festival de Berlín ; Oso de Oro - Mejor película: ;1968; Buffalo Bill y los indios ; Susi Sánchez
206;Festival de Berlín ; Oso de Oro - Mejor película: ;1967; Adopción ; Efraín Solís
207;Festival de Berlín ; Oso de Oro - Mejor película: ;1966; El aprendizaje de Duddy Kravitz ; José Padilha
208;Festival de Berlín ; Oso de Oro - Mejor película: ;1965; Un trueno lejano ; Wagner Moura
209;Festival de Berlín ; Oso de Oro - Mejor película: ;1964; Los cuentos de Canterbury ; Caio Junqueira
210;Festival de Berlín ; Oso de Oro - Mejor película: ;1963; El jardín de los Finzi Contini ; André Ramiro
211;Festival de Berlín ; Oso de Oro - Mejor película: ;1962; Obras tempranas ; Wang Quan'an
212;Festival de Berlín ; Oso de Oro - Mejor película: ;1961; ¿Quién le ha visto morir? ; Yu Nan
213;Festival de Berlín ; Oso de Oro - Mejor película: ;1960; La partida ; Ba Te Er
214;Festival de Berlín ; Oso de Oro - Mejor película: ;1959; Callejón sin salida ; Sen Ge
215;Festival de Berlín ; Oso de Oro - Mejor película: ;1958; Alphaville (Lemmy contra Alphaville) ; Jasmila Zbanic
216;Festival de Berlín ; Oso de Oro - Mejor película: ;1957; El árido verano (Dry Summer) ; Mirjana Karanovic
217;Festival de Berlín ; Oso de Oro - Mejor película: ;1956; El diablo ; Luna Mijovic
218;Festival de Berlín ; Oso de Oro - Mejor película: ;1955; Bushido ; Leon Lucev
219;Festival de Berlín ; Oso de Oro - Mejor película: ;1954; Esa clase de amor ; Mark Dornford-May
