id;festival;categoria;año;premiado_a;pelicula
99;Premios Razzie ; Peor actriz: ;2010; Kristen Stewart ; Jack y su gemela (Jack y Jill) 
100;Premios Razzie ; Peor actriz: ;2009;" Adam Sandler (personaje: ""Jill"") "; Sexo en Nueva York 2 
101;Premios Razzie ; Peor actriz: ;2008; Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon ; Loca obsesión 
102;Premios Razzie ; Peor actriz: ;2007; Sandra Bullock ; La bella y la bestia 
103;Premios Razzie ; Peor actriz: ;2006; Paris Hilton ; Sé quién me mató 
104;Premios Razzie ; Peor actriz: ;2005; Lindsay Lohan ; Sé quién me mató 
105;Premios Razzie ; Peor actriz: ;2004; Lindsay Lohan ; Instinto Básico 2: adicción al riesgo 
106;Premios Razzie ; Peor actriz: ;2003; Sharon Stone ; Supersalidas 
107;Premios Razzie ; Peor actriz: ;2002; Jenny McCarthy ; Catwoman 
108;Premios Razzie ; Peor actriz: ;2001; Halle Berry ; Una relación peligrosa (Gigli) 
109;Premios Razzie ; Peor actriz: ;2000; Jennifer Lopez ; Barridos por la marea 
110;Premios Razzie ; Peor actriz: ;1999; Madonna ; Crossroads: Hasta el final 
111;Premios Razzie ; Peor actriz: ;1998; Britney Spears ; Glitter (Todo lo que brilla) 
112;Premios Razzie ; Peor actriz: ;1997; Mariah Carey ; Algo casi perfecto 
113;Premios Razzie ; Peor actriz: ;1996; Madonna ; El proyecto de la bruja de Blair 
114;Premios Razzie ; Peor actriz: ;1995; Heather Donahue ; Spiceworld. The Movie 
115;Premios Razzie ; Peor actriz: ;1994; Melanie Brown, Victoria Beckham, Melanie C, Geri Halliwell, Emma Bunton ; La teniente O'Neil 
116;Premios Razzie ; Peor actriz: ;1993; Demi Moore ; Striptease 
117;Premios Razzie ; Peor actriz: ;1992; Demi Moore ; Coacción a un jurado 
118;Premios Razzie ; Peor actriz: ;1991; Demi Moore ; Showgirls 
119;Premios Razzie ; Peor actriz: ;1990; Elizabeth Berkley ; El especialista 
120;Premios Razzie ; Peor actriz: ;1989; Sharon Stone ; Entre dos mujeres (Intersection) 
121;Premios Razzie ; Peor actriz: ;1988; Sharon Stone ; El cuerpo del delito 
122;Premios Razzie ; Peor actriz: ;1987; Madonna ; Una extraña entre nosotros 
123;Premios Razzie ; Peor actriz: ;1986; Melanie Griffith ; Resplandor en la oscuridad 
124;Premios Razzie ; Peor actriz: ;1985; Melanie Griffith ; Bésame antes de morir 
125;Premios Razzie ; Peor actriz: ;1984; Sean Young ; Los fantasmas no pueden... hacerlo 
126;Premios Razzie ; Peor actriz: ;1983; Bo Derek ; El regreso de la cosa del pantano 
127;Premios Razzie ; Peor actriz: ;1982; Heather Locklear ; Chicago en rojo 
128;Premios Razzie ; Peor actriz: ;1981; Liza Minnelli ; Arthur 2: On the Rocks 
129;Premios Razzie ; Peor actor secundario: ;2023; Tom Hanks ; Elvis 
130;Premios Razzie ; Peor actor secundario: ;2022; Jared Leto ; La casa Gucci 
131;Premios Razzie ; Peor actor secundario: ;2021; Rudy Giuliani ; Borat, película film secuela 
132;Premios Razzie ; Peor actor secundario: ;2020; James Corden ; Cats 
133;Premios Razzie ; Peor actor secundario: ;2019; John C. Reilly ; Holmes & Watson 
134;Premios Razzie ; Peor actor secundario: ;2018; Mel Gibson ; Dos padres por desigual 
135;Premios Razzie ; Peor actor secundario: ;2017; Jesse Eisenberg ; Batman v. Superman: El amanecer de la Justicia 
136;Premios Razzie ; Peor actor secundario: ;2016; Eddie Redmayne ; El destino de Júpiter 
137;Premios Razzie ; Peor actor secundario: ;2015; Kelsey Grammer ; Transformers: La era de la extinción 
138;Premios Razzie ; Peor actor secundario: ;2014; Kelsey Grammer ; Legends of Oz: Dorothy’s Return 
139;Premios Razzie ; Peor actor secundario: ;2013; Kelsey Grammer ; En qué piensan los hombres 2 
140;Premios Razzie ; Peor actor secundario: ;2012; Kelsey Grammer ; Los mercenarios 3 
141;Premios Razzie ; Peor actor secundario: ;2011; Will Smith ; After Earth 
142;Premios Razzie ; Peor actor secundario: ;2010; Taylor Lautner ; La saga Crepúsculo: Amanecer - Parte 2 
143;Premios Razzie ; Peor actor secundario: ;2009; Al Pacino ; Jack y su gemela (Jack y Jill) 
144;Premios Razzie ; Peor actor secundario: ;2008; Jackson Rathbone ; La saga Crepúsculo: Eclipse 
145;Premios Razzie ; Peor actor secundario: ;2007; Jackson Rathbone ; Airbender, el último guerrero 
146;Premios Razzie ; Peor actor secundario: ;2006; Billy Ray Cyrus ; Hannah Montana: La película 
147;Premios Razzie ; Peor actor secundario: ;2005; Pierce Brosnan ; Mamma Mia! La película 
148;Premios Razzie ; Peor actor secundario: ;2004; Eddie Murphy ; Norbit 
149;Premios Razzie ; Peor actor secundario: ;2003; M. Night Shyamalan ; La joven del agua 
150;Premios Razzie ; Peor actor secundario: ;2002; Hayden Christensen ; Star Wars. Episodio III: La venganza de los sith 
151;Premios Razzie ; Peor actor secundario: ;2001; Donald Rumsfeld ; Fahrenheit 9/11 
152;Premios Razzie ; Peor actor secundario: ;2000; Sylvester Stallone ; Spy Kids 3D: Game Over 
153;Premios Razzie ; Peor actor secundario: ;1999; Hayden Christensen ; Star Wars. Episodio II: El ataque de los clones 
154;Premios Razzie ; Peor actor secundario: ;1998; Charlton Heston ; Enredos de sociedad 
155;Premios Razzie ; Peor actor secundario: ;1997; Charlton Heston ; El planeta de los simios 
156;Premios Razzie ; Peor actor secundario: ;1996; Charlton Heston ; Como perros y gatos 
157;Premios Razzie ; Peor actor secundario: ;1995; Barry Pepper ; Campo de batalla: La Tierra 
