id;festival;categoria;año;premiado_a;pelicula;director
84;Festival de Cannes ; Mejor actor: ;2007; Konstantin Lavronenko ; El destierro ; Alexander Payne
85;Festival de Cannes ; Mejor actor: ;2006; Jamel Debbouze, Samy Naceri, Sami Bouajila, Roschdy Zem, Bernard Blancan ; Indigènes ; Bruce Dern
86;Festival de Cannes ; Mejor actor: ;2005; Tommy Lee Jones ; Los tres entierros de Melquíades Estrada ; Thomas Vinterberg
87;Festival de Cannes ; Mejor actor: ;2004; Yûya Yagira ; Nadie sabe ; Mads Mikkelsen
88;Festival de Cannes ; Mejor actor: ;2003; Emin Toprak, Muzaffer Özdemir ; Lejano ; Michel Hazanavicius
89;Festival de Cannes ; Mejor actor: ;2002; Olivier Gourmet ; El hijo ; Jean Dujardin
90;Festival de Cannes ; Mejor actor: ;2001; Benoît Magimel ; La pianista ; Daniele Luchetti
91;Festival de Cannes ; Mejor actor: ;2000; Tony Leung Chiu-Wai ; Deseando amar ; Elio Germano
92;Festival de Cannes ; Mejor actor: ;1999; Emmanuel Schotté ; La humanidad ; Alejandro González Iñárritu
93;Festival de Cannes ; Mejor actor: ;1998; Peter Mullan ; Mi nombre es Joe ; Javier Bardem
94;Festival de Cannes ; Mejor actor: ;1997; Sean Penn ; Atrapada entre dos hombres ; Quentin Tarantino
95;Festival de Cannes ; Mejor actor: ;1996; Pascal Duquenne, Daniel Auteuil ; El octavo día ; Brad Pitt
96;Festival de Cannes ; Mejor actor: ;1995; Jonathan Pryce ; Carrington ; Steven Soderbergh
97;Festival de Cannes ; Mejor actor: ;1994; Ge You ; ¡Vivir! ; Benicio del Toro
98;Festival de Cannes ; Mejor actor: ;1993; David Thewlis ; Indefenso (Naked) ; Steven Soderbergh
99;Festival de Cannes ; Mejor actor: ;1992; Tim Robbins ; El juego de Hollywood ; Benicio del Toro
100;Festival de Cannes ; Mejor actor: ;1991; John Turturro ; Barton Fink ; Andrey Zvyagintsev
101;Festival de Cannes ; Mejor actor: ;1990; Gérard Depardieu ; Cyrano de Bergerac ; Konstantin Lavronenko
102;Festival de Cannes ; Mejor actor: ;1989; James Spader ; Sexo, mentiras y cintas de video ; Rachid Bouchareb
103;Festival de Cannes ; Mejor actor: ;1988; Forest Whitaker ; Bird ; Jamel Debbouze
104;Festival de Cannes ; Mejor actor: ;1987; Marcello Mastroianni ; Ojos negros ; Tommy Lee Jones
105;Festival de Cannes ; Mejor actor: ;1986; Michel Blanc ; Traje de etiqueta ; Tommy Lee Jones
106;Festival de Cannes ; Mejor actor: ;1985; Bob Hoskins ; Mona Lisa ; Hirokazu Koreeda
107;Festival de Cannes ; Mejor actor: ;1984; William Hurt ; El beso de la mujer araña ; Yûya Yagira
108;Festival de Cannes ; Mejor actor: ;1983; Francisco Rabal, Alfredo Landa ; Los santos inocentes ; Nuri Bilge Ceylan
109;Festival de Cannes ; Mejor actor: ;1982; Gian Maria Volonté ; La muerte de Mario Ricci ; Muzaffer Özdemir
110;Festival de Cannes ; Mejor actor: ;1981; Jack Lemmon ; Missing (Desaparecido) ; Jean-Pierre Dardenne
111;Festival de Cannes ; Mejor actor: ;1980; Ugo Tognazzi ; La historia de un hombre ridículo ; Olivier Gourmet
112;Festival de Cannes ; Mejor actor: ;1979; Michel Piccoli ; Salto al vacío ; Michael Haneke
113;Festival de Cannes ; Mejor actor: ;1978; Jack Lemmon ; El síndrome de China ; Isabelle Huppert
114;Festival de Cannes ; Mejor actor: ;1977; Jon Voight ; El regreso ; Wong Kar-Wai
115;Festival de Cannes ; Mejor actor: ;1976; Fernando Rey ; Elisa, vida mía ; Tony Leung Chiu-Wai
116;Festival de Cannes ; Mejor actor: ;1975; José Luis Gómez ; Pascual Duarte ; Bruno Dumont
117;Festival de Cannes ; Mejor actor: ;1974; Vittorio Gassman ; Perfume de mujer ; Emmanuel Schotté
118;Festival de Cannes ; Mejor actor: ;1973; Jack Nicholson ; El último deber ; Ken Loach
119;Festival de Cannes ; Mejor actor: ;1972; Charles Boyer ; Stavisky ; Peter Mullan
120;Festival de Cannes ; Mejor actor: ;1971; Giancarlo Giannini ; Amor y anarquía ; Nick Cassavetes
121;Festival de Cannes ; Mejor actor: ;1970; Jean Yanne ; Nosotros no envejeceremos juntos ; Sean Penn
122;Festival de Cannes ; Mejor actor: ;1969; Riccardo Cucciolla ; Sacco y Vanzetti ; Jaco Van Dormael
123;Festival de Cannes ; Mejor actor: ;1968; Marcello Mastroianni ; El demonio de los celos ; Daniel Auteuil
124;Festival de Cannes ; Mejor actor: ;1967; Jean-Louis Trintignant ; Z ; Christopher Hampton
125;Festival de Cannes ; Mejor actor: ;1966; Oded Kotler ; Three Days and a Child ; Emma Thompson
126;Festival de Cannes ; Mejor actor: ;1965; Per Oscarsson ; Sult (Hunger) ; Zhang Yimou
127;Festival de Cannes ; Mejor actor: ;1964; Terence Stamp ; El coleccionista ; Gong Li
128;Festival de Cannes ; Mejor actor: ;1963; Saro Urzi ; Seducida y abandonada ; Mike Leigh
129;Festival de Cannes ; Mejor actor: ;1962; Antal Páger ; Pacsirta ; David Thewlis
130;Festival de Cannes ; Mejor actor: ;1961; Richard Harris ; El ingenuo salvaje ; Robert Altman
131;Festival de Cannes ; Mejor actor: ;1960; Dean Stockwell, Jason Robards, Ralph Richardson ; Larga jornada hacia la noche ; Tim Robbins
132;Festival de Cannes ; Mejor actor: ;1959; Murray Melvin ; Un sabor a miel ; Joel Coen
133;Festival de Cannes ; Mejor actor: ;1958; Anthony Perkins ; No me digas adiós ; John Turturro
134;Festival de Cannes ; Mejor actor: ;1957; Orson Welles, Dean Stockwell, Bradford Dillman ; Impulso criminal ; Jean-Paul Rappeneau
135;Festival de Cannes ; Mejor actor: ;1956; Paul Newman ; El largo y cálido verano ; Gérard Depardieu
136;Festival de Cannes ; Mejor actor: ;1955; John Kitzmiller ; El valle de la paz ; Steven Soderbergh
137;Festival de Cannes ; Mejor actor: ;1954; Todo el reparto ; Bolshaya semya ; James Spader
138;Festival de Cannes ; Mejor actor: ;1953; Spencer Tracy ; Conspiración de silencio ; Clint Eastwood
139;Festival de Cannes ; Mejor actor: ;1952; Marlon Brando ; ¡Viva Zapata! ; Forest Whitaker
140;Festival de Cannes ; Mejor actor: ;1951; Michael Redgrave ; La versión Browning ; Nikita Mikhalkov
141;Festival de Cannes ; Mejor actor: ;1950; Edward G. Robinson ; Odio entre hermanos ; Marcello Mastroianni
142;Festival de Cannes ; Mejor actor: ;1949; Ray Milland ; Días sin huella ; Bertrand Blier
143;Festival de Cannes ; Mejor actriz: ;2023; Zar Amir-Ebrahimi ; Holy Spider (Araña sagrada) ; Ali Abbasi
144;Festival de Cannes ; Mejor actriz: ;2022; Renate Reinsve ; La peor persona del mundo ; Zar Amir-Ebrahimi
145;Festival de Cannes ; Mejor actriz: ;2021; Emily Beecham ; Little Joe ; Joachim Trier
146;Festival de Cannes ; Mejor actriz: ;2020; Samal Yeslyamova ; Ayka ; Renate Reinsve
147;Festival de Cannes ; Mejor actriz: ;2019; Diane Kruger ; En la sombra ; Jessica Hausner
148;Festival de Cannes ; Mejor actriz: ;2018; Jacklyn Jose ; Ma' Rosa ; Emily Beecham
149;Festival de Cannes ; Mejor actriz: ;2017; Emmanuelle Bercot ; Mi amor ; Sergei Dvortsevoy
150;Festival de Cannes ; Mejor actriz: ;2016; Rooney Mara ; Carol ; Samal Yeslyamova
151;Festival de Cannes ; Mejor actriz: ;2015; Julianne Moore ; Maps to the Stars ; Fatih Akin
152;Festival de Cannes ; Mejor actriz: ;2014; Bérénice Bejo ; El pasado ; Diane Kruger
153;Festival de Cannes ; Mejor actriz: ;2013; Cristina Flutur ; Más allá de las colinas ; Brillante Mendoza
154;Festival de Cannes ; Mejor actriz: ;2012; Cosmina Stratan ; Más allá de las colinas ; Jacklyn Jose
155;Festival de Cannes ; Mejor actriz: ;2011; Kirsten Dunst ; Melancolía ; Maïwenn
156;Festival de Cannes ; Mejor actriz: ;2010; Juliette Binoche ; Copia certificada ; Emmanuelle Bercot
157;Festival de Cannes ; Mejor actriz: ;2009; Charlotte Gainsbourg ; Anticristo ; Todd Haynes
158;Festival de Cannes ; Mejor actriz: ;2008; Sandra Corveloni ; Línea de pase (Linha de Passe) ; Cate Blanchett
159;Festival de Cannes ; Mejor actriz: ;2007; Jeon Do-yeon ; Secret Sunshine ; David Cronenberg
160;Festival de Cannes ; Mejor actriz: ;2006; Penélope Cruz, Carmen Maura, Chus Lampreave, Lola Dueñas, Blanca Portillo, Yohana Cobo ; Volver ; Julianne Moore
161;Festival de Cannes ; Mejor actriz: ;2005; Hanna Lazlo ; Zona libre ; Asghar Farhadi
162;Festival de Cannes ; Mejor actriz: ;2004; Maggie Cheung ; Clean (Coraje) ; Bérénice Bejo
163;Festival de Cannes ; Mejor actriz: ;2003; Marie-Josée Croze ; Las invasiones bárbaras ; Cristian Mungiu
164;Festival de Cannes ; Mejor actriz: ;2002; Kati Outinen ; Un hombre sin pasado ; Cosmina Stratan
165;Festival de Cannes ; Mejor actriz: ;2001; Isabelle Huppert ; La pianista ; Cristian Mungiu
166;Festival de Cannes ; Mejor actriz: ;2000; Björk ; Bailar en la oscuridad ; Cosmina Stratan
167;Festival de Cannes ; Mejor actriz: ;1999; Émilie Dequenne ; Rosetta ; Lars von Trier
168;Festival de Cannes ; Mejor actriz: ;1998; Séverine Caneele ; La humanidad ; Kirsten Dunst
169;Festival de Cannes ; Mejor actriz: ;1997; Natacha Régnier, Elodie Bouchez ; La vida soñada de los ángeles ; Abbas Kiarostami
170;Festival de Cannes ; Mejor actriz: ;1996; Kathy Burke ; Los golpes de la vida (Nil by Mouth) ; Juliette Binoche
171;Festival de Cannes ; Mejor actriz: ;1995; Brenda Blethyn ; Secretos y mentiras ; Lars von Trier
172;Festival de Cannes ; Mejor actriz: ;1994; Helen Mirren ; La locura del rey Jorge ; Willem Dafoe
173;Festival de Cannes ; Mejor actriz: ;1993; Virna Lisi ; La reina Margot ; Walter Salles
174;Festival de Cannes ; Mejor actriz: ;1992; Holly Hunter ; El piano ; João Baldasserini
175;Festival de Cannes ; Mejor actriz: ;1991; Pernilla August ; Las mejores intenciones ; Lee Chang-Dong
176;Festival de Cannes ; Mejor actriz: ;1990; Irène Jacob ; La doble vida de Verónica ; Song Kang-ho
177;Festival de Cannes ; Mejor actriz: ;1989; Krystyna Janda ; El interrogatorio ; Pedro Almodóvar
178;Festival de Cannes ; Mejor actriz: ;1988; Meryl Streep ; Un grito en la oscuridad ; Penélope Cruz
179;Festival de Cannes ; Mejor actriz: ;1987; Barbara Hershey, Jodhi May, Linda Mvusi ; Un mundo aparte ; Amos Gitai
180;Festival de Cannes ; Mejor actriz: ;1986; Barbara Hershey ; Vidas distantes ; Natalie Portman
181;Festival de Cannes ; Mejor actriz: ;1985; Fernanda Torres ; Eu Sei Que Vou Te Amar ; Olivier Assayas
182;Festival de Cannes ; Mejor actriz: ;1984; Barbara Sukowa ; Rosa Luxemburgo ; Maggie Cheung
183;Festival de Cannes ; Mejor actriz: ;1983; Cher ; Máscara ; Denys Arcand
184;Festival de Cannes ; Mejor actriz: ;1982; Norma Aleandro ; La historia oficial ; Rémy Girard
185;Festival de Cannes ; Mejor actriz: ;1981; Helen Mirren ; Cal ; Aki Kaurismäki
186;Festival de Cannes ; Mejor actriz: ;1980; Hanna Schygulla ; Historia de Piera ; Markku Peltola
187;Festival de Cannes ; Mejor actriz: ;1979; Jadwiga Jankowska-Cieslak ; La elección de Hanna B ; Michael Haneke
188;Festival de Cannes ; Mejor actriz: ;1978; Isabelle Adjani ; La posesión ; Isabelle Huppert
189;Festival de Cannes ; Mejor actriz: ;1977; Isabelle Adjani ; Quartet ; Lars von Trier
190;Festival de Cannes ; Mejor actriz: ;1976; Anouk Aimée ; Salto al vacío ; Björk
191;Festival de Cannes ; Mejor actriz: ;1975; Sally Field ; Norma Rae ; Jean-Pierre Dardenne
192;Festival de Cannes ; Mejor actriz: ;1974; Jill Clayburgh ; Una mujer descasada ; Émilie Dequenne
193;Festival de Cannes ; Mejor actriz: ;1973; Isabelle Huppert ; Prostituta de día, señorita de noche ; Bruno Dumont
194;Festival de Cannes ; Mejor actriz: ;1972; Monique Mercure ; J.A. Martin Photographer ; Emmanuel Schotté
