id;festival;categoria;año;interpretacion;pelicula;director
4924;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1999; Helen Hunt ; Loco por ti (Serie de TV) ; Billy Gardell
4925;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1998; Helen Hunt ; Loco por ti (Serie de TV) ; Liz Brixius
4926;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1997; Helen Hunt ; Loco por ti (Serie de TV) ; Edie Falco
4927;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1996; Helen Hunt ; Loco por ti (Serie de TV) ; Diablo Cody
4928;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1995; Candice Bergen ; Murphy Brown (Serie de TV) ; Toni Collette
4929;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1994; Candice Bergen ; Murphy Brown (Serie de TV) ; Tina Fey
4930;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1993; Roseanne ; Roseanne (Serie de TV) ; Tina Fey
4931;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1992; Candice Bergen ; Murphy Brown (Serie de TV) ; Silvio Horta
4932;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1991; Kirstie Alley ; Cheers (Serie de TV) ; America Ferrera
4933;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1990; Candice Bergen ; Murphy Brown (Serie de TV) ; Kari Lizer
4934;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1989; Candice Bergen ; Murphy Brown (Serie de TV) ; Julia Louis-Dreyfus
4935;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1988; Bea Arthur ; Las chicas de oro (Serie de TV) ; Marc Cherry
4936;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1987; Rue McClanahan ; Las chicas de oro (Serie de TV) ; Teri Hatcher
4937;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1986; Betty White ; Las chicas de oro (Serie de TV) ; Darren Star
4938;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1985; Jane Curtin ; Kate y Allie (Serie de TV) ; Sarah Jessica Parker
4939;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1984; Jane Curtin ; Kate y Allie (Serie de TV) ; David Kohan
4940;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1983; Shelley Long ; Cheers (Serie de TV) ; Debra Messing
4941;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1982; Carol Kane ; Taxi (Serie de TV) ; David Crane
4942;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1981; Isabel Sanford ; Los Jeffersons (Serie de TV) ; Jennifer Aniston
4943;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1980; Cathryn Damon ; Enredo (Serie de TV) ; Philip Rosenthal
4944;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1979; Ruth Gordon ; Taxi (Serie de TV) ; Ray Romano
4945;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1978; Jean Stapleton ; Todo en familia (Serie de TV) ; Philip Rosenthal
4946;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1977; Bea Arthur ; Maude (Serie de TV) ; Ray Romano
4947;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1976; Mary Tyler Moore ; La chica de la tele (Serie de TV) ; Paul Reiser
4948;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1975; Valerie Harper ; Rhoda (Serie de TV) ; Paul Reiser
4949;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1974; Mary Tyler Moore ; La chica de la tele (Serie de TV) ; Paul Reiser
4950;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1973; Mary Tyler Moore ; La chica de la tele (Serie de TV) ; Paul Reiser
4951;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1972; Jean Stapleton ; Todo en familia (Serie de TV) ; Paul Reiser
4952;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1971; Jean Stapleton ; Todo en familia (Serie de TV) ; Paul Reiser
4953;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1970; Hope Lange ; El fantasma y la señora Muir (Serie de TV) ; Paul Reiser
4954;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1969; Hope Lange ; El fantasma y la señora Muir (Serie de TV) ; Paul Reiser
4955;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1968; Lucille Ball ; Lucille Ball presenta (Serie de TV) ; Diane English
4956;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1967; Lucille Ball ; Lucille Ball presenta (Serie de TV) ; Candice Bergen
4957;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1966; Mary Tyler Moore ; El show de Dick Van Dyke (Serie de TV) ; Diane English
4958;Premios Emmy ; Mejor actriz principal en Serie de Comedia: ;1965; Jane Wyatt ; Papá lo sabe todo (Serie de TV) ; Candice Bergen
4959;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2022; Amanda Seyfried ; The Dropout: Auge y caída de Elizabeth Holmes (Miniserie de TV) ; Elizabeth Meriwether
4960;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2021; Kate Winslet ; Mare of Easttown (Miniserie de TV) ; Amanda Seyfried
4961;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2020; Regina King ; Watchmen (Miniserie de TV) ; Brad Ingelsby
4962;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2019; Michelle Williams ; Fosse/Verdon (Miniserie de TV) ; Kate Winslet
4963;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2018; Regina King ; Seven Seconds (Serie de TV) ; Damon Lindelof
4964;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2017; Nicole Kidman ; Big Little Lies (Serie de TV) ; Regina King
4965;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2016; Sarah Paulson ; American Crime Story: The People v. O.J. Simpson (Miniserie de TV) ; Thomas Kail
4966;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2015; Frances McDormand ; Olive Kitteridge (Miniserie de TV) ; Sam Rockwell
4967;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2014; Jessica Lange ; American Horror Story: Coven (Miniserie de TV) ; Veena Sud
4968;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2013; Laura Linney ; Con C mayúscula (The Big C) (Serie de TV) ; Regina King
4969;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2012; Julianne Moore ; Game Change (TV) ; David E. Kelley
4970;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2011; Kate Winslet ; Mildred Pierce (Miniserie de TV) ; Reese Witherspoon
4971;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2010; Claire Danes ; Temple Grandin (TV) ; Scott Alexander
4972;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2009; Jessica Lange ; Grey Gardens (TV) ; Cuba Gooding Jr.
4973;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2008; Laura Linney ; John Adams (Miniserie de TV) ; Lisa Cholodenko
4974;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2007; Helen Mirren ; Principal sospechoso: Último caso (TV) ; Frances McDormand
4975;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2006; Helen Mirren ; Elizabeth I (Miniserie de TV) ; Ryan Murphy
4976;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2005; S. Epatha Merkerson ; Lackawanna Blues (TV) ; Jessica Lange
4977;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2004; Meryl Streep ; Ángeles en América (Miniserie de TV) ; Darlene Hunt
4978;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2003; Maggie Smith ; Mi casa en Umbria (TV) ; Laura Linney
4979;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2002; Laura Linney ; Desaliento (TV) ; Jay Roach
4980;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2001; Judy Davis ; La vida con Judy Garland: yo y mis sombras (TV) ; Julianne Moore
4981;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;2000; Halle Berry ; Dorothy Dandridge: La estrella que se enfrentó a Hollywood (TV) ; Todd Haynes
4982;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1999; Helen Mirren ; La pasión de Ayn Rand (TV) ; Kate Winslet
4983;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1998; Ellen Barkin ; Alas cortadas (TV) ; Mick Jackson
4984;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1997; Alfre Woodard ; El experimento Tuskegee (TV) ; Claire Danes
4985;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1996; Helen Mirren ; Principal sospechoso: El aroma del miedo (TV) ; Michael Sucsy
4986;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1995; Glenn Close ; Un paso al frente (TV) ; Drew Barrymore
4987;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1994; Kirstie Alley ; Un cariño muy especial (TV) ; Tom Hooper
4988;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1993; Holly Hunter ; ¿Matamos a la animadora? (TV) ; Paul Giamatti
4989;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1992; Gena Rowlands ; El rostro de una extraña (TV) ; Philip Martin
4990;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1991; Lynn Whitfield ; Josephine Baker (TV) ; Helen Mirren
4991;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1990; Barbara Hershey ; Implicación criminal (TV) ; Tom Hooper
4992;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1989; Holly Hunter ; Más allá de la justicia (TV) ; Helen Mirren
4993;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1988; Jessica Tandy ; Foxfire (TV) ; George C. Wolfe
4994;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1987; Gena Rowlands ; La historia de Betty Ford (TV) ; S. Epatha Merkerson
4995;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1986; Marlo Thomas ; Nobody's Child (TV) ; Mike Nichols
4996;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1985; Joanne Woodward ; ¿Te acuerdas del amor? (TV) ; Al Pacino
4997;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1984; Jane Fonda ; La fabricante de muñecas (TV) ; Richard Loncraine
4998;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1983; Barbara Stanwyck ; El pájaro espino (Miniserie de TV) ; Maggie Smith
4999;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1982; Ingrid Bergman ; Una mujer llamada Golda (TV) ; Daniel Petrie
5000;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1981; Vanessa Redgrave ; Había que sobrevivir (TV) ; Gena Rowlands
5001;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1980; Patty Duke ; El milagro de Keller (TV) ; Robert Allan Ackerman
5002;Premios Emmy ; Mejor actriz principal en Miniserie o Telefilm: ;1979; Bette Davis ; Madre e hija (TV) ; Judy Davis
5003;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2022; Matthew Macfadyen ; Succession (Serie de TV) ; Jesse Armstrong
5004;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2021; Tobias Menzies ; The Crown (Serie de TV) ; Brian Cox
5005;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2020; Billy Crudup ; The Morning Show (Serie de TV) ; Peter Morgan
5006;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2019; Peter Dinklage ; Juego de Tronos (Serie de TV) ; Claire Foy
5007;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2018; Peter Dinklage ; Juego de Tronos (Serie de TV) ; Jay Carson
5008;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2017; John Lithgow ; The Crown (Serie de TV) ; Jennifer Aniston
5009;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2016; Ben Mendelsohn ; Bloodline (Serie de TV) ; David Benioff
5010;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2015; Peter Dinklage ; Juego de Tronos (Serie de TV) ; Emilia Clarke
5011;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2014; Aaron Paul ; Breaking Bad (Serie de TV) ; David Benioff
5012;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2013; Bobby Cannavale ; Boardwalk Empire (Serie de TV) ; Emilia Clarke
5013;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2012; Aaron Paul ; Breaking Bad (Serie de TV) ; Peter Morgan
5014;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2011; Peter Dinklage ; Juego de Tronos (Serie de TV) ; Claire Foy
5015;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2010; Aaron Paul ; Breaking Bad (Serie de TV) ; Todd A. Kessler
5016;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2009; Michael Emerson ; Perdidos (Lost) (Serie de TV) ; Kyle Chandler
5017;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2008; Zeljko Ivanek ; Daños y perjuicios (Damages) (Serie de TV) ; David Benioff
5018;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2007; Terry O'Quinn ; Perdidos (Lost) (Serie de TV) ; Emilia Clarke
5019;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2006; Alan Alda ; El ala oeste de la Casa Blanca (Serie de TV) ; Vince Gilligan
5020;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2005; William Shatner ; Boston Legal (Serie de TV) ; Bryan Cranston
5021;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2004; Michael Imperioli ; Los Soprano (Serie de TV) ; Terence Winter
5022;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2003; Joe Pantoliano ; Los Soprano (Serie de TV) ; Steve Buscemi
5023;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2002; John Spencer ; El ala oeste de la Casa Blanca (Serie de TV) ; Vince Gilligan
5024;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2001; Bradley Whitford ; El ala oeste de la Casa Blanca (Serie de TV) ; Bryan Cranston
5025;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;2000; Richard Schiff ; El ala oeste de la Casa Blanca (Serie de TV) ; David Benioff
5026;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1999; Michael Badalucco ; El abogado (Serie de TV) ; Emilia Clarke
5027;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1998; Gordon Clapp ; Policías de Nueva York - NYPD Blue (Serie de TV) ; Vince Gilligan
5028;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1997; Hector Elizondo ; Chicago Hope (Serie de TV) ; Bryan Cranston
5029;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1996; Ray Walston ; Picket Fences (Serie de TV) ; J.J. Abrams
5030;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1995; Ray Walston ; Picket Fences (Serie de TV) ; Matthew Fox
5031;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1994; Fyvush Finkel ; Picket Fences (Serie de TV) ; Glenn Kessler
5032;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1993; Chad Lowe ; A fuerza de cariño (Serie de TV) ; Glenn Close
5033;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1992; Richard Dysart ; La ley de Los Ángeles (Serie de TV) ; J.J. Abrams
5034;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1991; Timothy Busfield ; Treinta y tantos (Serie de TV) ; Matthew Fox
5035;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1990; Jimmy Smits ; La ley de Los Ángeles (Serie de TV) ; Aaron Sorkin
5036;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1989; Larry Drake ; La ley de Los Ángeles (Serie de TV) ; Martin Sheen
5037;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1988; Larry Drake ; La ley de Los Ángeles (Serie de TV) ; David E. Kelley
5038;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1987; John Hillerman ; Magnum (Serie de TV) ; James Spader
5039;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1986; John Karlen ; Cagney y Lacey (Serie de TV) ; David Chase
5040;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1985; Edward James Olmos ; Miami Vice - Corrupción en Miami (Serie de TV) ; James Gandolfini
5041;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1984; Bruce Weitz ; Canción triste de Hill Street (Serie de TV) ; David Chase
5042;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1983; James Coco ; Hospital (Serie de TV) ; James Gandolfini
5043;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1982; Michael Conrad ; Canción triste de Hill Street (Serie de TV) ; Aaron Sorkin
5044;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1981; Michael Conrad ; Canción triste de Hill Street (Serie de TV) ; Martin Sheen
5045;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1980; Stuart Margolin ; Los casos de Rockford (Serie de TV) ; Aaron Sorkin
5046;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1979; Stuart Margolin ; Los casos de Rockford (Serie de TV) ; Martin Sheen
5047;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1978; Ricardo Montalban ; La conquista del oeste (Serie de TV) ; Aaron Sorkin
5048;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1977; Gary Frank ; Familia (Serie de TV) ; Martin Sheen
5049;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1976; Anthony Zerbe ; Harry O (Serie de TV) ; David E. Kelley
5050;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1975; Will Geer ; Los Walton (Serie de TV) ; Dylan McDermott
5051;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1974; Scott Jacoby ; That Certain Summer (TV) ; Steven Bochco
5052;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1973; Jack Warden ; La canción de Brian (TV) ; Dennis Franz
5053;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1972; David Burns ; ITV Saturday Night Theatre (Serie de TV) ; David E. Kelley
5054;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1971; James Brolin ; Marcus Welby, doctor en medicina (Serie de TV) ; Adam Arkin
5055;Premios Emmy ; Mejor actor de reparto en Serie de Drama: ;1970; Dennis Weaver ; La ley del revólver (Serie de TV) ; David E. Kelley
5056;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2022; Brett Goldstein ; Ted Lasso (Serie de TV) ; Bill Lawrence
5057;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2021; Dan Levy ; Schitt's Creek (Serie de TV) ; Jason Sudeikis
5058;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2020; Tony Shalhoub ; La maravillosa Sra. Maisel (Serie de TV) ; Dan Levy
5059;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2019; Henry Winkler ; Barry (Serie de TV) ; Eugene Levy
5060;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2018; Alec Baldwin ; Saturday Night Live (Serie de TV) ; Amy Sherman-Palladino
5061;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2017; Louis Anderson ; Baskets (Serie de TV) ; Rachel Brosnahan
5062;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2016; Tony Hale ; Veep (Serie de TV) ; Alec Berg
5063;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2015; Ty Burrell ; Modern Family (Serie de TV) ; Bill Hader
5064;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2014; Tony Hale ; Veep (Serie de TV) ; Lorne Michaels
5065;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2013; Eric Stonestreet ; Modern Family (Serie de TV) ; Kevin Nealon
5066;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2012; Ty Burrell ; Modern Family (Serie de TV) ; Louis C.K.
5067;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2011; Eric Stonestreet ; Modern Family (Serie de TV) ; Zach Galifianakis
5068;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2010; Jon Cryer ; Dos hombres y medio (Serie de TV) ; Armando Iannucci
5069;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2009; Jeremy Piven ; Entourage: El séquito (Serie de TV) ; Julia Louis-Dreyfus
5070;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2008; Jeremy Piven ; Entourage: El séquito (Serie de TV) ; Steven Levitan
5071;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2007; Jeremy Piven ; Entourage: El séquito (Serie de TV) ; Ed O'Neill
5072;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2006; Brad Garrett ; Raymond (Serie de TV) ; Armando Iannucci
5073;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2005; David Hyde Pierce ; Frasier (Serie de TV) ; Julia Louis-Dreyfus
5074;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2004; Brad Garrett ; Raymond (Serie de TV) ; Steven Levitan
5075;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2003; Brad Garrett ; Raymond (Serie de TV) ; Ed O'Neill
5076;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2002; Peter MacNicol ; Ally McBeal (Serie de TV) ; Steven Levitan
5077;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2001; Sean Hayes ; Will & Grace (Serie de TV) ; Ed O'Neill
5078;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;2000; David Hyde Pierce ; Frasier (Serie de TV) ; Steven Levitan
5079;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1999; David Hyde Pierce ; Frasier (Serie de TV) ; Ed O'Neill
5080;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1998; Michael Richards ; Seinfeld (Serie de TV) ; Chuck Lorre
5081;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1997; Rip Torn ; The Larry Sanders Show (Serie de TV) ; Charlie Sheen
5082;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1996; David Hyde Pierce ; Frasier (Serie de TV) ; Doug Ellin
5083;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1995; Michael Richards ; Seinfeld (Serie de TV) ; Adrian Grenier
5084;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1994; Michael Richards ; Seinfeld (Serie de TV) ; Doug Ellin
5085;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1993; Michael Jeter ; La familia Newton (Serie de TV) ; Adrian Grenier
5086;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1992; Jonathan Winters ; Aquí mando yo (Serie de TV) ; Doug Ellin
5087;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1991; Alex Rocco ; El famoso Teddy Z (Serie de TV) ; Adrian Grenier
5088;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1990; Woody Harrelson ; Cheers (Serie de TV) ; Philip Rosenthal
5089;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1989; John Larroquette ; Juzgado de guardia (Serie de TV) ; Ray Romano
5090;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1988; John Larroquette ; Juzgado de guardia (Serie de TV) ; David Lee
5091;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1987; John Larroquette ; Juzgado de guardia (Serie de TV) ; Kelsey Grammer
5092;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1986; John Larroquette ; Juzgado de guardia (Serie de TV) ; Philip Rosenthal
5093;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1985; Pat Harrington Jr. ; One Day at a Time (Serie de TV) ; Ray Romano
5094;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1984; Christopher Lloyd ; Taxi (Serie de TV) ; Philip Rosenthal
5095;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1983; Christopher Lloyd ; Taxi (Serie de TV) ; Ray Romano
5096;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1982; Danny DeVito ; Taxi (Serie de TV) ; David E. Kelley
5097;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1981; Harry Morgan ; M.A.S.H. (Serie de TV) ; Calista Flockhart
5098;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1980; Robert Guillaume ; Enredo (Serie de TV) ; David Kohan
5099;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1979; Rob Reiner ; Todo en familia (Serie de TV) ; Debra Messing
5100;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1978; Gary Burghoff ; M.A.S.H. (Serie de TV) ; David Lee
5101;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1977; Ted Knight ; La chica de la tele (Serie de TV) ; Kelsey Grammer
5102;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1976; Ed Asner ; La chica de la tele (Serie de TV) ; David Lee
5103;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1975; Ted Knight ; La chica de la tele (Serie de TV) ; Kelsey Grammer
5104;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1974; Ed Asner ; La chica de la tele (Serie de TV) ; Jerry Seinfeld
5105;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1973; Ed Asner ; La chica de la tele (Serie de TV) ; Jerry Seinfeld
5106;Premios Emmy ; Mejor actor de reparto Serie de Comedia: ;1972; Michael Constantine ; Room 222 (Serie de TV) ; Larry Sanders
5107;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2022; Murray Bartlett ; The White Lotus (Miniserie de TV) ; Mike White
5108;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2021; Evan Peters ; Mare of Easttown (Miniserie de TV) ; Murray Bartlett
5109;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2020; Yahya Abdul-Mateen II ; Watchmen (Miniserie de TV) ; Brad Ingelsby
5110;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2019; Ben Whishaw ; Un escándalo muy inglés (Miniserie de TV) ; Kate Winslet
5111;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2018; Jeff Daniels ; Godless (Miniserie de TV) ; Damon Lindelof
5112;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2017; Alexander Skarsgård ; Big Little Lies (Serie de TV) ; Regina King
5113;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2016; Sterling K. Brown ; American Crime Story: The People v. O.J. Simpson (Miniserie de TV) ; Stephen Frears
5114;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2015; Bill Murray ; Olive Kitteridge (Miniserie de TV) ; Hugh Grant
5115;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2014; Martin Freeman ; Sherlock: Su último voto (TV) ; Scott Frank
5116;Premios Emmy ; Mejor actor de reparto en Miniserie o Telefilm: ;2013; James Cromwell ; American Horror Story: Asylum (Miniserie de TV) ; Jack O'Connell
