id;festival;categoria;año;premiado_a
7993;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Drama: ;1969; Peggy Lipton 
7994;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Drama: ;1968; Linda Cristal 
7995;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2023; Jeremy Allen White 
7996;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2022; Jason Sudeikis 
7997;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2021; Jason Sudeikis 
7998;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2020; Ramy Youssef 
7999;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2019; Michael Douglas 
8000;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2018; Aziz Ansari 
8001;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2017; Donald Glover 
8002;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2016; Gael García Bernal 
8003;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2015; Jeffrey Tambor 
8004;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2014; Andy Samberg 
8005;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2013; Don Cheadle 
8006;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2012; Matt LeBlanc 
8007;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2011; Jim Parsons 
8008;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2010; Alec Baldwin 
8009;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2009; Alec Baldwin 
8010;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2008; David Duchovny 
8011;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2007; Alec Baldwin 
8012;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2006; Steve Carell 
8013;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2005; Jason Bateman 
8014;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2004; Ricky Gervais 
8015;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2003; Tony Shalhoub 
8016;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2002; Charlie Sheen 
8017;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2001; Kelsey Grammer 
8018;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;2000; Michael J. Fox 
8019;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1999; Michael J. Fox 
8020;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1998; Michael J. Fox 
8021;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1997; John Lithgow 
8022;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1996; Kelsey Grammer 
8023;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1995; Tim Allen 
8024;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1994; Jerry Seinfeld 
8025;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1993; John Goodman 
8026;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1992; Burt Reynolds 
8027;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1991; Ted Danson 
8028;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1990; Ted Danson 
8029;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1989; Richard Mulligan 
8030;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1988; Judd Hirsch 
8031;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1987; Michael J. Fox 
8032;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1986; Dabney Coleman 
8033;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1985; Bruce Willis 
8034;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1984; Bill Cosby 
8035;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1983; Bill Cosby 
8036;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1982; John Ritter 
8037;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1981; Alan Alda 
8038;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1980; Alan Alda 
8039;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1979; Alan Alda 
8040;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1978; Alan Alda 
8041;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1977; Robin Williams 
8042;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1976; Henry Winkler 
8043;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1975; Ron Howard 
8044;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1974; Henry Winkler 
8045;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1973; Alan Alda 
8046;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1972; Alan Alda 
8047;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1971; Jack Klugman 
8048;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1970; Redd Foxx 
8049;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1969; Carroll O'Connor 
8050;Premios Globos de Oro ; Mejor actor principal en serie de TV - Comedia o musical: ;1968; Flip Wilson: Flip 
8051;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2023; Quinta Brunson 
8052;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2022; Jean Smart 
8053;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2021; Catherine O'Hara 
8054;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2020; Phoebe Waller-Bridge 
8055;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2019; Rachel Brosnahan 
8056;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2018; Rachel Brosnahan 
8057;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2017; Tracee Ellis Ross 
8058;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2016; Rachel Bloom 
8059;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2015; Gina Rodriguez 
8060;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2014; Amy Poehler 
8061;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2013; Lena Dunham 
8062;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2012; Laura Dern 
8063;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2011; Laura Linney 
8064;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2010; Toni Collette 
8065;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2009; Tina Fey 
8066;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2008; Tina Fey 
8067;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2007; America Ferrera 
8068;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2006; Mary-Louise Parker 
8069;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2005; Teri Hatcher 
8070;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2004; Sarah Jessica Parker 
8071;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2003; Jennifer Aniston 
8072;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2002; Sarah Jessica Parker 
8073;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2001; Sarah Jessica Parker 
8074;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;2000; Sarah Jessica Parker 
8075;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1999; Jenna Elfman 
8076;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1998; Calista Flockhart 
8077;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1997; Helen Hunt 
8078;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1996; Cybill Shepherd 
8079;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1995; Helen Hunt 
8080;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1994; Helen Hunt 
8081;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1993; Roseanne 
8082;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1992; Candice Bergen 
8083;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1991; Kirstie Alley 
8084;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1990; Jamie Lee Curtis 
8085;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1989; Candice Bergen 
8086;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1988; Tracey Ullman 
8087;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1987; Cybill Shepherd 
8088;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1986; Estelle Getty 
8089;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1985; Cybill Shepherd 
8090;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1984; Shelley Long 
8091;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1983; Joanna Cassidy 
8092;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1982; Debbie Allen 
8093;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1981; Eileen Brennan 
8094;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1980; Katherine Helmond 
8095;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1979; Linda Lavin 
8096;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1978; Linda Lavin 
8097;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1977; Carol Burnett 
8098;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1976; Carol Burnett 
8099;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1975; Cloris Leachman 
8100;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1974; Valerie Harper 
8101;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1973; Cher 
8102;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1972; Jean Stapleton 
8103;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1971; Jean Stapleton 
8104;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1970; Carol Burnett 
8105;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1969; Mary Tyler Moore 
8106;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1968; Carol Burnett 
8107;Premios Globos de Oro ; Mejor actriz principal en serie de TV - Comedia o musical: ;1967; Julie Sommars 
8108;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2023; Evan Peters 
8109;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2022; Michael Keaton 
8110;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2021; Mark Ruffalo 
8111;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2020; Russell Crowe 
8112;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2019; Darren Criss 
8113;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2018; Ewan McGregor 
8114;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2017; Tom Hiddleston 
8115;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2016; Oscar Isaac 
8116;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2015; Billy Bob Thornton 
8117;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2014; Michael Douglas 
8118;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2013; Kevin Costner 
8119;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2012; Idris Elba 
8120;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2011; Al Pacino 
8121;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2010; Kevin Bacon 
8122;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2009; Paul Giamatti 
8123;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2008; Jim Broadbent 
8124;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2007; Bill Nighy 
8125;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2006; Jonathan Rhys Meyers 
8126;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2005; Geoffrey Rush 
8127;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2004; Al Pacino 
8128;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2003; Albert Finney 
8129;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2002; James Franco 
8130;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2001; Brian Dennehy 
8131;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;2000; Jack Lemmon 
8132;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1999; Stanley Tucci 
8133;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1998; Ving Rhames 
8134;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1997; Alan Rickman 
8135;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1996; Gary Sinise 
8136;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1995; Raul Julia 
8137;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1994; James Garner 
8138;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1993; Robert Duvall 
8139;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1992; Beau Bridges 
8140;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1991; James Garner 
8141;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1990; Robert Duvall 
8142;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1989; Stacy Keach 
8143;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1988; Michael Caine 
8144;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1987; Randy Quaid 
8145;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1986; James Woods 
8146;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1985; Dustin Hoffman 
8147;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1984; Ted Danson 
8148;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1983; Richard Chamberlain 
8149;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1982; Anthony Andrews 
8150;Premios Globos de Oro ; Mejor actor en una miniserie o película para TV: ;1981; Mickey Rooney 
8151;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2023; Amanda Seyfried 
8152;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2022; Kate Winslet 
8153;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2021; Anya Taylor-Joy 
8154;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2020; Michelle Williams 
8155;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2019; Patricia Arquette 
8156;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2018; Nicole Kidman 
8157;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2017; Sarah Paulson 
8158;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2016; Lady Gaga 
8159;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2015; Maggie Gyllenhaal 
8160;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2014; Elisabeth Moss 
8161;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2013; Julianne Moore 
8162;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2012; Kate Winslet 
8163;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2011; Claire Danes 
8164;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2010; Drew Barrymore 
8165;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2009; Laura Linney 
8166;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2008; Queen Latifah 
8167;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2007; Helen Mirren 
8168;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2006; S. Epatha Merkerson 
8169;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2005; Glenn Close 
8170;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2004; Meryl Streep 
8171;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2003; Uma Thurman 
8172;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2002; Judy Davis 
8173;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2001; Judi Dench 
8174;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;2000; Halle Berry 
8175;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1999; Angelina Jolie 
8176;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1998; Alfre Woodard 
8177;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1997; Helen Mirren 
8178;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1996; Jessica Lange 
8179;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1995; Joanne Woodward 
8180;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1994; Bette Midler 
8181;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1993; Laura Dern 
8182;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1992; Judy Davis 
8183;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1991; Barbara Hershey 
8184;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1990; Christine Lahti 
8185;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1989; Ann Jillian 
8186;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1988; Gena Rowlands 
8187;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1987; Loretta Young 
8188;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1986; Liza Minnelli 
8189;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1985; Ann-Margret 
8190;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1984; Ann-Margret 
8191;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1983; Ingrid Bergman 
8192;Premios Globos de Oro ; Mejor actriz en una miniserie o película para TV : ;1982; Jane Seymour 
8193;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2023; Paul Walter Hauser 
8194;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2022; Oh Yeong-su 
8195;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2021; John Boyega 
8196;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2020; Stellan Skarsgård 
8197;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2019; Ben Whishaw 
8198;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2018; Alexander Skarsgård 
8199;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2017; Hugh Laurie 
8200;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2016; Christian Slater 
8201;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2015; Matt Bomer 
8202;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2014; Jon Voight 
8203;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2013; Ed Harris 
8204;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2012; Peter Dinklage 
8205;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2011; Chris Colfer 
8206;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2010; John Lithgow 
8207;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2009; Tom Wilkinson 
8208;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2008; Jeremy Piven 
8209;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2007; Jeremy Irons 
8210;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2006; William Shatner 
8211;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2005; Jeffrey Wright 
8212;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2004; Donald Sutherland 
8213;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2003; Stanley Tucci 
8214;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2002; Robert Downey Jr. 
8215;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2001; Peter Fonda 
8216;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;2000; Gregory Peck 
8217;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1999; Don Cheadle 
8218;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1998; George C. Scott 
8219;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1997; Ian McKellen 
8220;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1996; Donald Sutherland 
8221;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1995; Edward James Olmos 
8222;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1994; Beau Bridges 
8223;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1993; Maximilian Schell 
8224;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1992; Louis Gossett Jr. 
8225;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1991; Charles Durning 
8226;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1990; Dean Stockwell 
8227;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1989; John Gielgud 
8228;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1988; Barry Bostwick 
8229;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1987; Rutger Hauer 
8230;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1986; Jan Niklas 
8231;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1985; Edward James Olmos 
8232;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1984; Paul Le Mat 
8233;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1983; Richard Kiley 
8234;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1982; Lionel Stander 
8235;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1981; John Hillerman 
8236;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1980; Vic Tayback 
8237;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1979; Pat Harrington Jr. 
8238;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1978; Vic Tayback 
8239;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1977; Danny DeVito 
8240;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1976; Norman Fell 
8241;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1975; Ed Asner 
8242;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1974; Ed Asner 
8243;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1973; Tim Conway 
8244;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1972; Harvey Korman 
8245;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1971; McLean Stevenson 
8246;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1970; James Brolin 
8247;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1969; Ed Asner 
8248;Premios Globos de Oro ; Mejor actor secundario en una serie, miniserie o película para TV: ;1968; James Brolin 
8249;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2023; Jennifer Coolidge 
8250;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2022; Sarah Snook 
8251;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2021; Gillian Anderson 
8252;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2020; Patricia Arquette 
8253;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2019; Patricia Clarkson 
8254;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2018; Laura Dern 
8255;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2017; Olivia Colman 
8256;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2016; Maura Tierney 
8257;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2015; Joanne Froggatt 
8258;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2014; Jacqueline Bisset 
8259;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2013; Maggie Smith 
8260;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2012; Jessica Lange 
8261;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2011; Jane Lynch 
8262;Premios Globos de Oro ; Mejor actriz secundaria en una serie, miniserie o película para TV: ;2010; Chloë Sevigny 
