id;festival;categoria;año;premiado_a
112;Festival de Cannes ; Gran Premio del Jurado: ;1996; El dulce porvenir 
113;Festival de Cannes ; Gran Premio del Jurado: ;1995; Rompiendo las olas 
114;Festival de Cannes ; Gran Premio del Jurado: ;1994; La mirada de Ulises 
115;Festival de Cannes ; Gran Premio del Jurado: ;1993; Quemado por el sol 
116;Festival de Cannes ; Gran Premio del Jurado: ;1992; ¡Vivir! 
117;Festival de Cannes ; Gran Premio del Jurado: ;1991; ¡Tan lejos, tan cerca! 
118;Festival de Cannes ; Gran Premio del Jurado: ;1990; Niños robados 
119;Festival de Cannes ; Gran Premio del Jurado: ;1989; La bella mentirosa 
120;Festival de Cannes ; Gran Premio del Jurado: ;1988; Tilaï (Cuestión de honor) 
121;Festival de Cannes ; Gran Premio del Jurado: ;1987; The Sting of Death 
122;Festival de Cannes ; Gran Premio del Jurado: ;1986; Demasiado bella para ti 
123;Festival de Cannes ; Gran Premio del Jurado: ;1985; Cinema Paradiso 
124;Festival de Cannes ; Gran Premio del Jurado: ;1984; Un mundo aparte 
125;Festival de Cannes ; Gran Premio del Jurado: ;1983; Arrepentimiento 
126;Festival de Cannes ; Gran Premio del Jurado: ;1982; Sacrificio 
127;Festival de Cannes ; Gran Premio del Jurado: ;1981; Birdy 
128;Festival de Cannes ; Gran Premio del Jurado: ;1980; Diario para mis hijos 
129;Festival de Cannes ; Gran Premio del Jurado: ;1979; El sentido de la vida 
130;Festival de Cannes ; Gran Premio del Jurado: ;1978; La noche de San Lorenzo 
131;Festival de Cannes ; Gran Premio del Jurado: ;1977; A años luz 
132;Festival de Cannes ; Gran Premio del Jurado: ;1976; Mi tío de América 
133;Festival de Cannes ; Gran Premio del Jurado: ;1975; Siberiada 
134;Festival de Cannes ; Gran Premio del Jurado: ;1974; El grito 
135;Festival de Cannes ; Gran Premio del Jurado: ;1973; Adiós al macho 
136;Festival de Cannes ; Gran Premio del Jurado: ;1972; La marquesa de O 
137;Festival de Cannes ; Gran Premio del Jurado: ;1971; Cría cuervos... 
138;Festival de Cannes ; Gran Premio del Jurado: ;1970; El enigma de Gaspar Hauser 
139;Festival de Cannes ; Gran Premio del Jurado: ;1969; Las mil y una noches 
140;Festival de Cannes ; Gran Premio del Jurado: ;1968; La mamá y la puta 
141;Festival de Cannes ; Gran Premio del Jurado: ;1967; Solaris 
142;Festival de Cannes ; Gran Premio del Jurado: ;1966; Juventud sin esperanza 
143;Festival de Cannes ; Gran Premio del Jurado: ;1965; Johnny cogió su fusil 
144;Festival de Cannes ; Gran Premio del Jurado: ;1964; Investigación sobre un ciudadano libre de toda sospecha 
145;Festival de Cannes ; Gran Premio del Jurado: ;1963; Adalen 31 
146;Festival de Cannes ; Gran Premio del Jurado: ;1962; Encontré zíngaros felices 
147;Festival de Cannes ; Gran Premio del Jurado: ;1961; Accidente 
148;Festival de Cannes ; Gran Premio del Jurado: ;1960; Harakiri 
149;Festival de Cannes ; Gran Premio del Jurado: ;1959; La estrella de David 
150;Festival de Berlín ; Oso de Oro - Mejor película: ;2023; Sur l’Adamant 
151;Festival de Berlín ; Oso de Oro - Mejor película: ;2022; Alcarràs 
152;Festival de Berlín ; Oso de Oro - Mejor película: ;2021; Un polvo desafortunado o porno loco 
153;Festival de Berlín ; Oso de Oro - Mejor película: ;2020; La vida de los demás 
154;Festival de Berlín ; Oso de Oro - Mejor película: ;2019; Sinónimos 
155;Festival de Berlín ; Oso de Oro - Mejor película: ;2018; Touch Me Not  (No me toques) 
156;Festival de Berlín ; Oso de Oro - Mejor película: ;2017; En cuerpo y alma 
157;Festival de Berlín ; Oso de Oro - Mejor película: ;2016; Fuego en el mar 
158;Festival de Berlín ; Oso de Oro - Mejor película: ;2015; Taxi Teherán 
159;Festival de Berlín ; Oso de Oro - Mejor película: ;2014; Black Coal 
160;Festival de Berlín ; Oso de Oro - Mejor película: ;2013; La mirada del hijo (Madre e hijo) 
161;Festival de Berlín ; Oso de Oro - Mejor película: ;2012; César debe morir 
162;Festival de Berlín ; Oso de Oro - Mejor película: ;2011; Nader y Simin, una separación 
163;Festival de Berlín ; Oso de Oro - Mejor película: ;2010; Miel 
164;Festival de Berlín ; Oso de Oro - Mejor película: ;2009; La teta asustada 
165;Festival de Berlín ; Oso de Oro - Mejor película: ;2008; Tropa de élite 
166;Festival de Berlín ; Oso de Oro - Mejor película: ;2007; La boda de Tuya 
167;Festival de Berlín ; Oso de Oro - Mejor película: ;2006; Grbavica (El secreto de Esma) 
168;Festival de Berlín ; Oso de Oro - Mejor película: ;2005; U-Carmen e-Khayelitsha 
169;Festival de Berlín ; Oso de Oro - Mejor película: ;2004; Contra la pared 
170;Festival de Berlín ; Oso de Oro - Mejor película: ;2003; In This World (En este mundo) 
171;Festival de Berlín ; Oso de Oro - Mejor película: ;2002; El viaje de Chihiro 
172;Festival de Berlín ; Oso de Oro - Mejor película: ;2001; Bloody Sunday (Domingo sangriento) 
173;Festival de Berlín ; Oso de Oro - Mejor película: ;2000; Intimidad 
174;Festival de Berlín ; Oso de Oro - Mejor película: ;1999; Magnolia 
175;Festival de Berlín ; Oso de Oro - Mejor película: ;1998; La delgada línea roja 
176;Festival de Berlín ; Oso de Oro - Mejor película: ;1997; Estación central de Brasil 
177;Festival de Berlín ; Oso de Oro - Mejor película: ;1996; El escándalo de Larry Flynt 
178;Festival de Berlín ; Oso de Oro - Mejor película: ;1995; Sentido y sensibilidad 
179;Festival de Berlín ; Oso de Oro - Mejor película: ;1994; La carnaza 
180;Festival de Berlín ; Oso de Oro - Mejor película: ;1993; En el nombre del padre 
181;Festival de Berlín ; Oso de Oro - Mejor película: ;1992; Woman Sesame Oil Maker 
182;Festival de Berlín ; Oso de Oro - Mejor película: ;1991; El banquete de boda 
183;Festival de Berlín ; Oso de Oro - Mejor película: ;1990; Grand Canyon (El alma de la ciudad) 
184;Festival de Berlín ; Oso de Oro - Mejor película: ;1989; La casa de la sonrisa 
185;Festival de Berlín ; Oso de Oro - Mejor película: ;1988; Alondras en el alambre 
186;Festival de Berlín ; Oso de Oro - Mejor película: ;1987; La caja de música 
187;Festival de Berlín ; Oso de Oro - Mejor película: ;1986; Rain Man 
188;Festival de Berlín ; Oso de Oro - Mejor película: ;1985; Sorgo rojo 
189;Festival de Berlín ; Oso de Oro - Mejor película: ;1984; Tema 
190;Festival de Berlín ; Oso de Oro - Mejor película: ;1983; Stammheim, el proceso 
191;Festival de Berlín ; Oso de Oro - Mejor película: ;1982; La mujer y el extraño 
192;Festival de Berlín ; Oso de Oro - Mejor película: ;1981; Un pasado en sombras 
193;Festival de Berlín ; Oso de Oro - Mejor película: ;1980; Corrientes de amor 
194;Festival de Berlín ; Oso de Oro - Mejor película: ;1979; Ascendancy 
195;Festival de Berlín ; Oso de Oro - Mejor película: ;1978; La colmena 
196;Festival de Berlín ; Oso de Oro - Mejor película: ;1977; La ansiedad de Veronika Voss 
