,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
96,7.2,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
97,6.7,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37
98,6.5,0,0,0,0,2,0,3,0,3,7,3,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174
99,6.5,0,0,0,2,0,0,6,4,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
100,4.4,0,0,0,0,0,0,2,4,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
101,4.7,0,0,0,0,0,0,2,0,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,886
102,7.5,0,0,0,0,0,0,2,0,5,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
103,8.0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
104,7.1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5177
105,5.2,0,0,0,0,5,0,0,0,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141
106,5.1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5177
107,7.6,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
108,6.2,0,1,1,0,1,0,5,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
110,7.5,0,0,0,0,17,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,717
112,5.5,0,0,0,0,0,0,5,2,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5177
113,6.3,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
114,6.6,0,0,3,1,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89
116,7.5,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
117,5.0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
118,4.3,0,0,0,0,0,0,3,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1042
119,6.6,0,0,0,0,4,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5177
121,7.4,2,0,3,8,0,0,0,5,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
123,7.0,0,0,0,0,0,2,3,1,4,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
124,5.2,0,0,0,0,0,1,0,3,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
125,7.3,0,0,0,1,2,0,2,2,0,7,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
127,6.2,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
128,6.6,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
129,4.1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
130,7.3,0,0,10,0,1,4,3,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,886
131,4.5,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
132,4.5,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
133,6.9,0,0,0,0,0,0,0,10,1,7,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
134,7.5,29,0,4,1,8,3,4,2,0,1,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5177
136,7.6,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
137,8.0,0,0,4,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5177
138,4.1,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
139,7.4,2,0,0,0,0,1,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60
140,6.6,0,0,0,0,13,2,1,0,0,3,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,886
